Jogo 285, 1, 2, 3, 5, 7, 9, 12, 13, 16, 17, 19, 20, 22, 23, 25
Jogo 286, 1, 2, 3, 5, 7, 10, 12, 13, 16, 17, 19, 20, 22, 23, 25
Jogo 362, 1, 2, 3, 5, 8, 9, 12, 13, 16, 17, 19, 20, 22, 23, 25
Jogo 363, 1, 2, 3, 5, 8, 10, 12, 13, 16, 17, 19, 20, 22, 23, 25
Jogo 364, 1, 2, 3, 5, 9, 10, 12, 13, 16, 17, 19, 20, 22, 23, 25
Jogo 440, 1, 2, 3, 7, 8, 9, 12, 13, 16, 17, 19, 20, 22, 23, 25
Jogo 441, 1, 2, 3, 7, 8, 10, 12, 13, 16, 17, 19, 20, 22, 23, 25
Jogo 442, 1, 2, 3, 7, 9, 10, 12, 13, 16, 17, 19, 20, 22, 23, 25
Jogo 452, 1, 2, 3, 6, 8, 9, 12, 13, 16, 17, 19, 20, 22, 23, 25
Jogo 453, 1, 2, 3, 6, 8, 10, 12, 13, 16, 17, 19, 20, 22, 23, 25
Jogo 454, 1, 2, 3, 6, 9, 10, 12, 13, 16, 17, 19, 20, 22, 23, 25
Jogo 531, 1, 2, 5, 7, 8, 9, 12, 13, 16, 17, 19, 20, 22, 23, 25
Jogo 532, 1, 2, 5, 7, 8, 10, 12, 13, 16, 17, 19, 20, 22, 23, 25
Jogo 533, 1, 2, 5, 7, 9, 10, 12, 13, 16, 17, 19, 20, 22, 23, 25
Jogo 543, 1, 2, 5, 6, 8, 9, 12, 13, 16, 17, 19, 20, 22, 23, 25
Jogo 544, 1, 2, 5, 6, 8, 10, 12, 13, 16, 17, 19, 20, 22, 23, 25
Jogo 545, 1, 2, 5, 6, 9, 10, 12, 13, 16, 17, 19, 20, 22, 23, 25
Jogo 636, 1, 3, 5, 7, 8, 9, 12, 13, 16, 17, 19, 20, 22, 23, 25
Jogo 637, 1, 3, 5, 7, 8, 10, 12, 13, 16, 17, 19, 20, 22, 23, 25
Jogo 638, 1, 3, 5, 7, 9, 10, 12, 13, 16, 17, 19, 20, 22, 23, 25
Jogo 648, 1, 3, 5, 6, 8, 9, 12, 13, 16, 17, 19, 20, 22, 23, 25
Jogo 649, 1, 3, 5, 6, 8, 10, 12, 13, 16, 17, 19, 20, 22, 23, 25
Jogo 650, 1, 3, 5, 6, 9, 10, 12, 13, 16, 17, 19, 20, 22, 23, 25
Jogo 756, 2, 3, 5, 7, 8, 9, 12, 13, 16, 17, 19, 20, 22, 23, 25
Jogo 757, 2, 3, 5, 7, 8, 10, 12, 13, 16, 17, 19, 20, 22, 23, 25
Jogo 758, 2, 3, 5, 7, 9, 10, 12, 13, 16, 17, 19, 20, 22, 23, 25
Jogo 768, 2, 3, 5, 6, 8, 9, 12, 13, 16, 17, 19, 20, 22, 23, 25
Jogo 769, 2, 3, 5, 6, 8, 10, 12, 13, 16, 17, 19, 20, 22, 23, 25
Jogo 770, 2, 3, 5, 6, 9, 10, 12, 13, 16, 17, 19, 20, 22, 23, 25
